Site,Transect,Part,Unknown,Bacterivorous,Fungivorous,Herbivorous,Omnivorous,Predatory,Total,ProportionCounted,WetSoil,ExtractMass,DrySoil
6883,150,a,14,41,16,41,30,2,144,0.25,50.52,49.64,39.41
6883,50,a,13,31,20,31,32,0,127,0.25,52.4,51.65,40.98
6883,pad,a,5,25,10,42,31,3,116,0.25,49.59,51.7,39.79
7207,150,a,15,74,12,53,29,2,185,0.25,49.88,49.74,43.55
7207,50,a,8,60,19,39,23,1,150,0.25,51.5,51.13,45.31
7207,pad,a,18,44,8,14,18,4,106,0.25,51.01,51.31,44.73
8221,150,a,12,126,89,176,36,4,443,0.25,50.26,50.21,41.43
8221,50,a,26,278,133,98,38,12,585,0.5,49.99,50.91,40.71
8221,pad,a,7,73,20,41,15,1,157,0.5,50.32,50.01,43.89
7320,150,a,16,207,37,33,17,32,342,0.5,50.39,51.53,41.11
7320,50,a,7,125,67,59,23,18,299,0.5,51.05,51.59,42.58
7320,pad,a,15,175,38,68,24,18,338,0.5,50.72,51.28,42.65
7406,150,a,8,70,29,111,34,0,252,0.25,50.49,49.83,40.77
7406,50,a,12,95,20,130,23,0,280,0.25,50.82,51.17,41.55
7406,pad,a,4,89,19,141,22,6,281,0.25,50.03,50.22,41.64
7410,150,a,12,39,18,54,37,2,162,0.25,52.23,49.03,42.55
7410,50,a,5,87,24,110,20,14,260,0.25,55.03,49.79,42.89
7410,pad,a,2,22,15,27,6,7,79,0.25,54.26,50.1,44.91
7432,150,a,9,55,29,79,37,5,214,0.25,49.01,51.88,38.96
7432,50,a,13,72,22,59,21,1,188,0.25,50.15,51.06,39.13
7432,pad,a,6,115,20,50,11,0,202,0.25,50.33,49.29,36.5
7756,150,a,5,43,20,38,33,1,140,0.25,49.03,51.74,39.2
7756,50,a,5,76,27,71,28,11,218,0.25,49.89,50.43,39.06
7756,pad,a,9,37,18,45,16,4,129,0.25,55.3,49.82,44.31
7812,150,a,21,150,47,152,11,16,397,0.5,51.35,51.35,41.53
7812,50,a,5,185,59,95,13,8,365,0.5,51.52,51.54,40.94
7812,pad,a,17,123,21,21,15,7,204,0.5,52.47,50.39,43.23
8492,150,a,14,33,15,119,11,0,192,0.25,50.93,50.9,33.53
8492,50,a,25,60,29,75,18,1,208,0.25,52.63,50.27,42.79
8492,pad,a,4,60,23,69,13,3,172,0.25,50.91,53.72,40.68
9008,150,a,11,52,20,66,23,4,176,0.25,51.16,50.43,40.37
